0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
PRADESH,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,
1,68,31,45,61,124,91,407,121,175,151,80,181,151,211,36,241,104,271,122,,,,,,
2,166,32,64,62,190,92,40,122,253,152,381,182,86,212,281,242,85,272,180,,,,,,
3,217,33,92,63,72,93,147,123,197,153,497,183,53,213,364,243,610,273,111,,,,,,
4,100,34,112,64,95,94,180,124,263,154,432,184,58,214,452,244,162,274,20,,,,,,
5,329,35,170,65,368,95,182,125,54,155,588,185,321,215,453,245,259,275,284,,,,,,
6,371,36,341,66,81,96,498,126,572,156,102,186,478,216,202,246,372,276,89,,,,,,
7,90,37,461,67,332,97,287,127,555,157,535,187,75,217,366,247,235,277,365,,,,,,
8,121,38,65,68,465,98,402,128,206,158,271,188,179,218,22,248,73,278,537,,,,,,
9,520,39,25,69,87,99,509,129,31,159,13,189,285,219,265,249,116,279,176,,,,,,
10,381,40,52,70,169,100,171,130,127,160,314,190,255,220,42,250,27,280,75,,,,,,
11,510,41,115,71,38,101,20,131,115,161,114,191,460,221,183,251,230,281,77,,,,,,
12,58,42,205,72,136,102,76,132,74,162,91,192,172,222,230,252,54,282,57,,,,,,
13,74,43,320,73,212,103,410,133,310,163,163,193,409,223,140,253,125,283,123,,,,,,
14,475,44,118,74,284,104,491,134,143,164,33,194,479,224,373,254,45,284,395,,,,,,
15,616,45,25,75,332,105,50,135,137,165,22,195,30,225,465,255,145,285,358,,,,,,
16,64,46,125,76,80,106,293,136,172,166,207,196,153,226,235,256,96,286,95,,,,,,
17,91,47,67,77,55,107,152,137,418,167,312,197,38,227,148,257,222,287,345,,,,,,
18,19,48,110,78,344,108,34,138,-2,168,270,198,104,228,607,258,256,288,205,,,,,,
19,36,49,35,79,640,109,136,139,220,169,132,199,69,229,402,259,250,289,558,,,,,,
20,558,50,402,80,534,110,463,140,156,170,108,200,301,230,80,260,87,290,173,,,,,,
21,136,51,304,81,136,111,109,141,177,171,102,201,24,231,485,261,392,291,456,,,,,,
22,472,52,350,82,307,112,488,142,155,172,65,202,52,232,423,262,73,292,24,,,,,,
23,203,53,367,83,57,113,556,143,598,173,128,203,111,233,96,263,177,293,127,,,,,,
24,314,54,180,84,400,114,171,144,332,174,325,204,293,234,294,264,55,294,13,,,,,,
