0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
CHHATTISGARH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,
1,71,31,423,61,95,91,315,121,475,151,78,181,605,211,388,241,114,271,324,,,,,,,,,,,,
2,357,32,299,62,106,92,214,122,187,152,376,182,166,212,192,242,147,272,292,,,,,,,,,,,,
3,75,33,21,63,496,93,168,123,299,153,140,183,80,213,90,243,216,273,240,,,,,,,,,,,,
4,496,34,26,64,68,94,234,124,445,154,83,184,506,214,160,244,305,274,52,,,,,,,,,,,,
5,413,35,173,65,497,95,88,125,267,155,273,185,372,215,258,245,56,275,548,,,,,,,,,,,,
6,124,36,138,66,554,96,199,126,42,156,86,186,116,216,280,246,142,276,126,,,,,,,,,,,,
7,60,37,286,67,78,97,607,127,321,157,273,187,348,217,288,247,155,277,82,,,,,,,,,,,,
8,375,38,267,68,74,98,447,128,263,158,342,188,487,218,74,248,61,278,380,,,,,,,,,,,,
9,493,39,219,69,19,99,583,129,431,159,255,189,151,219,330,249,518,279,427,,,,,,,,,,,,
10,251,40,479,70,160,100,5,130,95,160,203,190,320,220,75,250,446,280,415,,,,,,,,,,,,
11,29,41,573,71,103,101,286,131,173,161,142,191,234,221,424,251,585,281,245,,,,,,,,,,,,
12,457,42,619,72,479,102,442,132,63,162,532,192,41,222,157,252,86,282,83,,,,,,,,,,,,
13,100,43,69,73,35,103,501,133,512,163,355,193,374,223,100,253,51,283,357,,,,,,,,,,,,
14,215,44,347,74,166,104,234,134,305,164,26,194,273,224,174,254,84,284,285,,,,,,,,,,,,
15,83,45,295,75,45,105,224,135,224,165,323,195,165,225,251,255,298,285,170,,,,,,,,,,,,
16,150,46,63,76,456,106,316,136,308,166,214,196,76,226,247,256,309,286,464,,,,,,,,,,,,
17,105,47,156,77,411,107,184,137,526,167,322,197,86,227,286,257,329,287,387,,,,,,,,,,,,
18,211,48,405,78,387,108,242,138,211,168,154,198,486,228,343,258,443,288,237,,,,,,,,,,,,
19,471,49,191,79,268,109,446,139,75,169,266,199,331,229,390,259,414,289,307,,,,,,,,,,,,
20,123,50,376,80,218,110,414,140,234,170,336,200,68,230,460,260,382,290,581,,,,,,,,,,,,
21,98,51,161,81,229,111,60,141,206,171,77,201,223,231,108,261,276,291,449,,,,,,,,,,,,
22,257,52,87,82,516,112,357,142,146,172,152,202,65,232,42,262,154,292,145,,,,,,,,,,,,
23,242,53,101,83,569,113,261,143,110,173,58,203,514,233,75,263,264,293,55,,,,,,,,,,,,
24,524,54,548,84,226,114,307,144,43,174,63,204,255,234,398,264,471,294,432,,,,,,,,,,,,
25,280,55,559,85,185,115,243,145,71,175,28,205,264,235,429,265,181,295,84,,,,,,,,,,,,
26,110,56,138,86,390,116,28,146,152,176,20,206,554,236,49,266,206,296,136,,,,,,,,,,,,
27,115,57,487,87,557,117,365,147,319,177,56,207,121,237,132,267,183,297,67,,,,,,,,,,,,
28,238,58,229,88,130,118,295,148,207,178,99,208,302,238,158,268,295,298,272,,,,,,,,,,,,
29,529,59,83,89,394,119,311,149,185,179,314,209,-7,239,655,269,587,299,143,,,,,,,,,,,,
30,231,60,171,90,83,120,185,150,240,180,171,210,80,240,346,270,242,300,216,,,,,,,,,,,,
Centre:,170107,BSP,SENIOR,SECONDARY,SCHOOL,SECTOR,-,7,"BHILAI,",SECTOR,-,7,BHILAI,SECTOR,-,7,BHILAI,IN,FRONT,OF,STEEL,CLUB,"SECTOR-8,",BHILAI,"NAGAR/DURG,",NEET,(UG),2024,Page,No.,2
CHHATTISGARH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,,,
301,103,331,419,361,81,391,193,421,453,451,88,,,,,,,,,,,,,,,,,,,,
302,227,332,602,362,134,392,126,422,153,452,233,,,,,,,,,,,,,,,,,,,,
303,110,333,246,363,153,393,283,423,323,453,586,,,,,,,,,,,,,,,,,,,,
304,402,334,453,364,433,394,80,424,52,454,65,,,,,,,,,,,,,,,,,,,,
305,511,335,497,365,140,395,158,425,260,455,169,,,,,,,,,,,,,,,,,,,,
306,202,336,504,366,538,396,123,426,150,456,65,,,,,,,,,,,,,,,,,,,,
307,390,337,447,367,44,397,391,427,581,457,251,,,,,,,,,,,,,,,,,,,,
308,401,338,104,368,380,398,17,428,286,458,38,,,,,,,,,,,,,,,,,,,,
309,279,339,148,369,105,399,266,429,233,459,65,,,,,,,,,,,,,,,,,,,,
310,90,340,248,370,183,400,53,430,179,460,322,,,,,,,,,,,,,,,,,,,,
311,567,341,199,371,362,401,83,431,202,461,164,,,,,,,,,,,,,,,,,,,,
312,209,342,155,372,322,402,201,432,89,462,277,,,,,,,,,,,,,,,,,,,,
313,216,343,35,373,71,403,92,433,163,463,277,,,,,,,,,,,,,,,,,,,,
314,145,344,108,374,368,404,105,434,79,464,229,,,,,,,,,,,,,,,,,,,,
315,215,345,292,375,263,405,48,435,184,465,323,,,,,,,,,,,,,,,,,,,,
316,80,346,101,376,280,406,278,436,443,466,258,,,,,,,,,,,,,,,,,,,,
317,37,347,508,377,190,407,421,437,298,467,146,,,,,,,,,,,,,,,,,,,,
318,334,348,91,378,45,408,439,438,363,468,148,,,,,,,,,,,,,,,,,,,,
319,46,349,239,379,232,409,215,439,278,469,208,,,,,,,,,,,,,,,,,,,,
320,373,350,500,380,101,410,319,440,220,470,252,,,,,,,,,,,,,,,,,,,,
321,286,351,206,381,42,411,101,441,604,471,526,,,,,,,,,,,,,,,,,,,,
322,108,352,284,382,648,412,156,442,515,472,129,,,,,,,,,,,,,,,,,,,,
323,125,353,276,383,106,413,86,443,398,,,,,,,,,,,,,,,,,,,,,,
324,315,354,94,384,191,414,185,444,177,,,,,,,,,,,,,,,,,,,,,,
325,266,355,296,385,175,415,168,445,83,,,,,,,,,,,,,,,,,,,,,,
326,446,356,60,386,359,416,72,446,186,,,,,,,,,,,,,,,,,,,,,,
327,257,357,79,387,296,417,42,447,131,,,,,,,,,,,,,,,,,,,,,,
328,179,358,299,388,278,418,84,448,110,,,,,,,,,,,,,,,,,,,,,,
329,634,359,101,389,34,419,13,449,188,,,,,,,,,,,,,,,,,,,,,,
330,64,360,225,390,438,420,113,450,150,,,,,,,,,,,,,,,,,,,,,,
