0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
DADRA,&,NAGAR,HAVELI,(UT),,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,
1,488,31,77,61,238,91,329,121,303,151,54,181,230,211,408,241,257,271,308,,,,,
2,278,32,363,62,437,92,130,122,72,152,246,182,123,212,340,242,380,272,403,,,,,
3,116,33,74,63,319,93,474,123,385,153,114,183,131,213,372,243,85,273,275,,,,,
4,402,34,39,64,112,94,403,124,204,154,482,184,627,214,45,244,173,274,215,,,,,
5,114,35,183,65,397,95,85,125,38,155,60,185,149,215,371,245,425,275,103,,,,,
6,485,36,240,66,90,96,124,126,482,156,557,186,432,216,58,246,499,276,233,,,,,
7,238,37,78,67,386,97,94,127,226,157,124,187,348,217,298,247,72,277,185,,,,,
8,79,38,316,68,73,98,134,128,180,158,71,188,546,218,55,248,134,278,104,,,,,
9,44,39,293,69,552,99,389,129,139,159,114,189,604,219,296,249,471,279,121,,,,,
10,245,40,335,70,214,100,52,130,115,160,326,190,58,220,318,250,62,280,268,,,,,
11,316,41,99,71,0,101,109,131,399,161,379,191,200,221,119,251,336,281,577,,,,,
12,317,42,145,72,96,102,306,132,440,162,295,192,407,222,130,252,87,282,204,,,,,
13,234,43,487,73,306,103,183,133,11,163,194,193,138,223,255,253,493,283,154,,,,,
14,252,44,386,74,42,104,155,134,266,164,32,194,188,224,88,254,244,284,223,,,,,
15,221,45,264,75,217,105,124,135,220,165,481,195,228,225,428,255,480,285,168,,,,,
16,395,46,281,76,507,106,393,136,469,166,217,196,93,226,72,256,431,286,485,,,,,
17,458,47,170,77,167,107,254,137,132,167,122,197,484,227,89,257,297,287,177,,,,,
18,486,48,156,78,60,108,86,138,245,168,130,198,46,228,163,258,142,288,216,,,,,
19,10,49,160,79,5,109,285,139,78,169,108,199,195,229,95,259,211,289,214,,,,,
20,133,50,169,80,274,110,180,140,188,170,233,200,120,230,231,260,126,290,260,,,,,
21,283,51,332,81,111,111,152,141,392,171,207,201,52,231,498,261,79,291,243,,,,,
22,153,52,157,82,101,112,138,142,49,172,208,202,547,232,113,262,89,292,427,,,,,
23,298,53,35,83,315,113,204,143,383,173,202,203,381,233,692,263,148,293,278,,,,,
24,205,54,401,84,287,114,260,144,185,174,233,204,352,234,76,264,139,294,135,,,,,
25,70,55,294,85,171,115,182,145,605,175,427,205,82,235,62,265,522,295,95,,,,,
26,88,56,382,86,115,116,207,146,366,176,31,206,82,236,27,266,65,296,111,,,,,
27,527,57,334,87,387,117,316,147,88,177,129,207,191,237,166,267,163,297,140,,,,,
28,50,58,277,88,225,118,125,148,295,178,259,208,296,238,52,268,180,298,55,,,,,
29,568,59,146,89,69,119,120,149,366,179,223,209,159,239,82,269,34,299,150,,,,,
30,487,60,242,90,372,120,235,150,382,180,269,210,158,240,142,270,82,300,201,,,,,
Centre:,180102,ALOK,PUBLIC,SCHOOL,SAYALI,SILVASSA,"D&NH,",ALOK,PUBLIC,SCHOOL,491/1/P,BHOYAPADA,VILLAGE,SAYLI,SILVASSA,DADAR&NAGAR,"HAVELI,","SILVASSA,",NEET,(UG),2024,Page,No.,2
DADRA,&,NAGAR,HAVELI,(UT),,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,,,,,,,,,,,,,,,,,,,,,,,
301,330,,,,,,,,,,,,,,,,,,,,,,,
302,409,,,,,,,,,,,,,,,,,,,,,,,
303,141,,,,,,,,,,,,,,,,,,,,,,,
304,290,,,,,,,,,,,,,,,,,,,,,,,
305,43,,,,,,,,,,,,,,,,,,,,,,,
306,207,,,,,,,,,,,,,,,,,,,,,,,
307,394,,,,,,,,,,,,,,,,,,,,,,,
