0,1,2,3,4,5,6,7,8,9,10,11
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,139,31,454,61,126,91,566,121,193,151,78
2,12,32,249,62,284,92,97,122,193,152,192
3,82,33,108,63,150,93,99,123,353,153,68
4,163,34,49,64,66,94,74,124,237,154,125
5,235,35,192,65,199,95,355,125,268,155,520
6,134,36,180,66,500,96,93,126,143,156,329
7,91,37,575,67,83,97,208,127,186,157,213
8,113,38,118,68,115,98,180,128,128,158,415
9,86,39,445,69,131,99,51,129,439,159,667
10,266,40,154,70,246,100,157,130,621,160,141
11,521,41,257,71,262,101,191,131,121,161,369
12,365,42,149,72,130,102,199,132,131,162,220
13,309,43,118,73,133,103,205,133,249,163,404
14,98,44,415,74,570,104,252,134,173,,
15,37,45,482,75,199,105,227,135,92,,
16,404,46,83,76,131,106,294,136,237,,
17,86,47,353,77,167,107,43,137,102,,
18,583,48,96,78,199,108,40,138,630,,
19,237,49,312,79,103,109,518,139,537,,
20,203,50,341,80,199,110,179,140,113,,
21,226,51,268,81,85,111,191,141,155,,
22,635,52,103,82,118,112,248,142,136,,
23,347,53,97,83,80,113,428,143,132,,
24,394,54,205,84,308,114,131,144,157,,
25,112,55,56,85,113,115,491,145,206,,
26,273,56,307,86,135,116,113,146,327,,
27,272,57,327,87,15,117,272,147,444,,
28,174,58,50,88,132,118,224,148,171,,
29,61,59,74,89,238,119,38,149,143,,
30,180,60,118,90,532,120,574,150,122,,
