0,1,2,3,4,5,6,7,8,9
"DUMKA,",JHARKHAND,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,53,31,78,61,137,91,90,121,65
2,84,32,68,62,18,92,115,122,92
3,150,33,52,63,31,93,35,123,117
4,26,34,220,64,177,94,79,124,77
5,86,35,139,65,60,95,85,125,41
6,338,36,100,66,73,96,94,126,65
7,103,37,115,67,77,97,57,127,70
8,174,38,125,68,141,98,185,128,71
9,91,39,120,69,70,99,412,129,320
10,62,40,131,70,50,100,30,130,64
11,37,41,13,71,0,101,606,131,37
12,101,42,154,72,59,102,178,132,52
13,122,43,90,73,38,103,76,133,129
14,166,44,71,74,53,104,12,134,52
15,170,45,13,75,202,105,104,135,228
16,35,46,109,76,215,106,12,136,51
17,127,47,70,77,77,107,44,137,102
18,616,48,68,78,67,108,145,138,70
19,24,49,96,79,209,109,87,139,30
20,53,50,87,80,63,110,65,140,65
21,247,51,90,81,323,111,124,,
22,54,52,320,82,73,112,127,,
23,111,53,35,83,35,113,265,,
24,58,54,25,84,134,114,77,,
25,70,55,5,85,83,115,204,,
26,7,56,27,86,43,116,61,,
27,160,57,134,87,127,117,125,,
28,59,58,228,88,178,118,85,,
29,34,59,101,89,245,119,36,,
30,50,60,141,90,80,120,76,,
