0,1,2,3,4,5
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,120,31,98,61,117
2,209,32,89,62,372
3,57,33,187,63,105
4,40,34,141,64,190
5,24,35,255,65,57
6,270,36,546,66,85
7,28,37,50,67,127
8,45,38,107,68,45
9,60,39,90,69,76
10,175,40,81,70,72
11,639,41,104,71,80
12,80,42,67,72,564
13,11,43,185,73,89
14,196,44,246,74,54
15,76,45,76,75,108
16,66,46,109,76,110
17,215,47,181,,
18,401,48,50,,
19,154,49,241,,
20,100,50,55,,
21,74,51,293,,
22,285,52,186,,
23,410,53,115,,
24,80,54,30,,
25,84,55,73,,
26,134,56,94,,
27,39,57,416,,
28,130,58,268,,
29,545,59,63,,
30,129,60,81,,
