0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
INDIA,PIN,"591244,",BELAGAVI,"(BELGAUM),",KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,
1,57,31,-3,61,390,91,250,121,71,151,129,181,60,211,44,241,205,271,39,,,,,,,,,,,,,
2,129,32,113,62,194,92,103,122,120,152,59,182,70,212,159,242,464,272,87,,,,,,,,,,,,,
3,40,33,76,63,311,93,336,123,305,153,120,183,39,213,110,243,80,273,182,,,,,,,,,,,,,
4,141,34,279,64,91,94,63,124,157,154,235,184,274,214,255,244,249,274,47,,,,,,,,,,,,,
5,119,35,47,65,108,95,48,125,218,155,150,185,23,215,75,245,157,275,689,,,,,,,,,,,,,
6,25,36,104,66,406,96,525,126,302,156,147,186,94,216,49,246,146,276,87,,,,,,,,,,,,,
7,93,37,295,67,243,97,50,127,355,157,629,187,71,217,206,247,145,277,287,,,,,,,,,,,,,
8,80,38,121,68,76,98,79,128,164,158,306,188,200,218,75,248,331,278,155,,,,,,,,,,,,,
9,114,39,71,69,162,99,55,129,95,159,97,189,131,219,65,249,22,279,263,,,,,,,,,,,,,
10,94,40,122,70,48,100,106,130,64,160,77,190,117,220,79,250,110,280,234,,,,,,,,,,,,,
11,49,41,450,71,192,101,116,131,406,161,289,191,85,221,278,251,258,281,99,,,,,,,,,,,,,
12,172,42,170,72,256,102,44,132,126,162,265,192,545,222,31,252,105,282,372,,,,,,,,,,,,,
13,327,43,131,73,52,103,110,133,145,163,151,193,54,223,273,253,337,283,70,,,,,,,,,,,,,
14,94,44,340,74,41,104,181,134,89,164,333,194,236,224,159,254,90,284,18,,,,,,,,,,,,,
15,325,45,146,75,112,105,158,135,44,165,402,195,198,225,123,255,339,285,104,,,,,,,,,,,,,
16,93,46,25,76,397,106,70,136,256,166,589,196,27,226,94,256,155,286,90,,,,,,,,,,,,,
17,277,47,45,77,64,107,344,137,45,167,339,197,44,227,188,257,272,287,43,,,,,,,,,,,,,
18,95,48,55,78,11,108,132,138,144,168,196,198,38,228,290,258,340,288,164,,,,,,,,,,,,,
19,217,49,-2,79,304,109,93,139,98,169,291,199,330,229,145,259,121,289,86,,,,,,,,,,,,,
20,390,50,609,80,68,110,303,140,336,170,69,200,25,230,65,260,101,290,178,,,,,,,,,,,,,
21,55,51,184,81,85,111,47,141,93,171,139,201,497,231,276,261,63,291,362,,,,,,,,,,,,,
22,439,52,69,82,159,112,150,142,72,172,56,202,177,232,198,262,158,292,115,,,,,,,,,,,,,
23,130,53,137,83,172,113,98,143,297,173,38,203,110,233,144,263,55,293,90,,,,,,,,,,,,,
24,656,54,108,84,108,114,40,144,238,174,125,204,64,234,431,264,42,294,281,,,,,,,,,,,,,
25,137,55,112,85,395,115,102,145,139,175,50,205,135,235,270,265,148,295,179,,,,,,,,,,,,,
26,103,56,396,86,139,116,77,146,55,176,115,206,397,236,106,266,75,296,81,,,,,,,,,,,,,
27,201,57,100,87,560,117,163,147,64,177,39,207,178,237,80,267,150,297,665,,,,,,,,,,,,,
28,160,58,70,88,133,118,31,148,382,178,253,208,125,238,82,268,428,298,62,,,,,,,,,,,,,
29,32,59,590,89,269,119,318,149,62,179,103,209,12,239,378,269,88,299,106,,,,,,,,,,,,,
30,209,60,102,90,122,120,152,150,230,180,82,210,62,240,191,270,287,300,513,,,,,,,,,,,,,
Centre:,270112,SHIVASHANKAR,JOLLE,ENG,MED,PUBLIC,SCH,BELGAUM,"KK,",AT,POST,:,CHIKODI,-,EXAMBA,ROAD,NANADI,TQ,:,CHIKODI,DT,:,BELAGAVI,ST,:,KARNATAKA,NEET,(UG),2024,Page,No.,2
INDIA,PIN,"591244,",BELAGAVI,"(BELGAUM),",KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,206,331,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,80,332,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,21,333,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,139,334,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,73,335,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,123,336,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,113,337,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
