0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
BENGALURU-,"URBAN,",KARNATAKA,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,
1,208,31,152,61,271,91,114,121,540,151,80,181,352,211,241,241,710,271,50,,,
2,426,32,50,62,347,92,165,122,77,152,465,182,475,212,145,242,417,272,436,,,
3,192,33,174,63,50,93,82,123,129,153,86,183,233,213,321,243,383,273,300,,,
4,385,34,226,64,80,94,71,124,631,154,125,184,357,214,113,244,515,274,71,,,
5,531,35,280,65,640,95,292,125,423,155,537,185,333,215,106,245,103,275,373,,,
6,98,36,574,66,168,96,635,126,271,156,167,186,126,216,214,246,182,276,205,,,
7,115,37,336,67,105,97,574,127,409,157,137,187,168,217,292,247,150,277,192,,,
8,77,38,695,68,300,98,410,128,95,158,118,188,181,218,67,248,170,278,334,,,
9,224,39,360,69,293,99,189,129,336,159,123,189,458,219,115,249,607,279,134,,,
10,60,40,234,70,21,100,495,130,194,160,444,190,203,220,158,250,165,280,100,,,
11,549,41,447,71,404,101,190,131,111,161,491,191,115,221,145,251,327,281,126,,,
12,617,42,175,72,137,102,421,132,590,162,69,192,47,222,382,252,264,282,407,,,
13,245,43,213,73,162,103,129,133,298,163,65,193,196,223,286,253,28,283,102,,,
14,75,44,219,74,634,104,217,134,327,164,318,194,-10,224,375,254,214,284,163,,,
15,127,45,248,75,35,105,243,135,315,165,519,195,142,225,595,255,505,285,354,,,
16,207,46,185,76,372,106,202,136,436,166,85,196,554,226,82,256,80,286,493,,,
17,304,47,92,77,110,107,107,137,493,167,222,197,579,227,295,257,162,287,631,,,
18,161,48,100,78,441,108,59,138,375,168,283,198,125,228,220,258,161,288,295,,,
19,210,49,68,79,312,109,100,139,491,169,471,199,100,229,452,259,120,289,260,,,
20,265,50,141,80,176,110,137,140,154,170,503,200,638,230,66,260,225,290,411,,,
21,80,51,392,81,270,111,652,141,139,171,186,201,213,231,64,261,479,291,70,,,
22,228,52,117,82,142,112,520,142,37,172,90,202,258,232,291,262,361,292,472,,,
23,116,53,638,83,225,113,90,143,447,173,165,203,5,233,336,263,391,293,330,,,
24,264,54,468,84,134,114,168,144,236,174,522,204,144,234,353,264,452,294,218,,,
25,244,55,62,85,316,115,353,145,330,175,150,205,427,235,682,265,529,295,258,,,
26,528,56,95,86,298,116,90,146,185,176,100,206,180,236,362,266,149,296,494,,,
27,303,57,135,87,252,117,425,147,266,177,539,207,457,237,145,267,151,297,396,,,
28,39,58,204,88,294,118,470,148,229,178,63,208,269,238,591,268,328,298,225,,,
29,486,59,156,89,514,119,59,149,76,179,324,209,603,239,599,269,157,299,399,,,
30,157,60,542,90,263,120,259,150,211,180,179,210,380,240,358,270,141,300,303,,,
Centre:,271231,NARAYANA,E-TECHNO,"SCHOOL,",TIRUMALA,DHABHA,"CIRCLE,",KAVERI,"LAYOUT,",NEAR,ATTUR,"LAYOUT,",YELAHANAKA,NEW,"TOWN,","BENGALURU,",NEET,(UG),2024,Page,No.,2
BENGALURU-,"URBAN,",KARNATAKA,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,
301,165,331,349,361,148,391,125,421,197,451,95,,,,,,,,,,,
302,211,332,162,362,110,392,315,422,81,452,200,,,,,,,,,,,
303,120,333,138,363,250,393,148,423,408,453,558,,,,,,,,,,,
304,204,334,700,364,56,394,371,424,154,454,50,,,,,,,,,,,
305,259,335,293,365,235,395,391,425,89,455,104,,,,,,,,,,,
306,576,336,200,366,418,396,637,426,310,456,481,,,,,,,,,,,
307,10,337,154,367,309,397,266,427,198,457,562,,,,,,,,,,,
308,618,338,103,368,31,398,40,428,473,458,625,,,,,,,,,,,
309,381,339,319,369,343,399,548,429,156,459,115,,,,,,,,,,,
310,66,340,450,370,305,400,59,430,361,460,571,,,,,,,,,,,
311,227,341,175,371,160,401,380,431,115,461,601,,,,,,,,,,,
312,44,342,179,372,599,402,332,432,95,462,30,,,,,,,,,,,
313,329,343,426,373,63,403,488,433,492,,,,,,,,,,,,,
314,356,344,596,374,96,404,110,434,487,,,,,,,,,,,,,
315,70,345,239,375,175,405,246,435,421,,,,,,,,,,,,,
316,63,346,680,376,115,406,311,436,383,,,,,,,,,,,,,
317,195,347,218,377,323,407,359,437,277,,,,,,,,,,,,,
318,267,348,128,378,493,408,256,438,156,,,,,,,,,,,,,
319,3,349,368,379,496,409,365,439,188,,,,,,,,,,,,,
320,70,350,110,380,390,410,223,440,190,,,,,,,,,,,,,
321,633,351,135,381,150,411,139,441,174,,,,,,,,,,,,,
322,291,352,252,382,394,412,365,442,675,,,,,,,,,,,,,
323,399,353,197,383,157,413,367,443,569,,,,,,,,,,,,,
324,467,354,178,384,36,414,253,444,220,,,,,,,,,,,,,
325,308,355,552,385,131,415,332,445,22,,,,,,,,,,,,,
326,106,356,156,386,60,416,286,446,605,,,,,,,,,,,,,
327,482,357,256,387,86,417,158,447,416,,,,,,,,,,,,,
328,85,358,107,388,47,418,475,448,194,,,,,,,,,,,,,
329,622,359,149,389,145,419,69,449,407,,,,,,,,,,,,,
330,70,360,202,390,670,420,565,450,586,,,,,,,,,,,,,
