0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,124,31,349,61,312,91,180,121,168,151,60,181,691,211,89,241,681,271,77
2,65,32,53,62,319,92,90,122,116,152,298,182,44,212,86,242,111,272,172
3,63,33,131,63,91,93,105,123,40,153,392,183,570,213,211,243,33,273,85
4,108,34,185,64,121,94,113,124,221,154,65,184,166,214,137,244,51,274,132
5,297,35,45,65,348,95,60,125,450,155,250,185,161,215,121,245,163,275,388
6,186,36,45,66,125,96,682,126,54,156,85,186,249,216,90,246,255,276,40
7,-5,37,55,67,98,97,177,127,539,157,107,187,12,217,235,247,327,277,278
8,570,38,142,68,177,98,386,128,646,158,181,188,84,218,401,248,141,278,172
9,189,39,215,69,378,99,206,129,120,159,122,189,150,219,160,249,184,279,136
10,122,40,154,70,382,100,126,130,67,160,37,190,227,220,64,250,93,280,477
11,155,41,180,71,223,101,185,131,217,161,207,191,569,221,20,251,114,281,291
12,65,42,125,72,150,102,382,132,170,162,160,192,73,222,82,252,630,282,30
13,170,43,185,73,77,103,200,133,685,163,251,193,29,223,597,253,64,283,187
14,357,44,152,74,358,104,51,134,448,164,78,194,179,224,50,254,333,284,18
15,232,45,238,75,123,105,90,135,85,165,157,195,17,225,108,255,576,285,50
16,101,46,106,76,107,106,162,136,57,166,17,196,55,226,82,256,167,286,660
17,439,47,213,77,259,107,60,137,176,167,55,197,292,227,229,257,308,287,600
18,166,48,706,78,201,108,50,138,301,168,71,198,157,228,100,258,579,288,101
19,54,49,354,79,64,109,643,139,641,169,372,199,157,229,298,259,50,289,344
20,608,50,180,80,88,110,259,140,323,170,123,200,157,230,145,260,167,290,80
21,508,51,426,81,565,111,98,141,502,171,372,201,158,231,368,261,492,291,596
22,276,52,163,82,79,112,93,142,72,172,186,202,40,232,107,262,145,292,167
23,616,53,140,83,82,113,127,143,309,173,379,203,70,233,120,263,161,293,451
24,101,54,169,84,344,114,304,144,571,174,157,204,101,234,14,264,83,294,164
25,171,55,41,85,96,115,512,145,207,175,492,205,63,235,31,265,243,295,186
26,100,56,185,86,183,116,264,146,148,176,399,206,73,236,131,266,140,296,148
27,617,57,432,87,193,117,452,147,100,177,91,207,553,237,648,267,120,297,379
28,130,58,125,88,172,118,129,148,193,178,367,208,263,238,77,268,138,298,205
29,106,59,130,89,35,119,234,149,166,179,578,209,330,239,132,269,49,299,173
30,158,60,169,90,60,120,312,150,131,180,323,210,120,240,264,270,109,300,334
Centre:,280107,V.N.S.S.S.N.TRUSTS,CENTRAL,"SCHOOL,",V.N.S.S.S.N.TRUSTS,CENTRAL,SCHOOL,S.N.PURAM,P,O,"CHERTHALA,","ALAPPUZHA/CHENGANNUR,",KERALA,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,
301,145,331,91,361,29,391,288,421,143,451,81,481,119,,,,,,
302,91,332,408,362,135,392,6,422,153,452,336,482,130,,,,,,
303,59,333,43,363,176,393,115,423,109,453,170,483,91,,,,,,
304,216,334,139,364,75,394,252,424,172,454,382,484,261,,,,,,
305,170,335,303,365,62,395,135,425,140,455,356,485,531,,,,,,
306,290,336,348,366,59,396,182,426,220,456,173,486,157,,,,,,
307,112,337,180,367,521,397,516,427,172,457,112,487,369,,,,,,
308,381,338,115,368,423,398,271,428,35,458,40,488,50,,,,,,
309,323,339,194,369,253,399,80,429,102,459,459,489,65,,,,,,
310,121,340,200,370,383,400,353,430,242,460,35,490,140,,,,,,
311,55,341,210,371,554,401,217,431,203,461,233,491,314,,,,,,
312,180,342,596,372,209,402,289,432,123,462,128,492,20,,,,,,
313,105,343,380,373,200,403,105,433,543,463,117,493,218,,,,,,
314,462,344,19,374,311,404,259,434,72,464,136,494,335,,,,,,
315,84,345,83,375,387,405,56,435,203,465,157,495,172,,,,,,
316,185,346,349,376,268,406,301,436,321,466,238,496,65,,,,,,
317,125,347,75,377,255,407,237,437,219,467,95,497,312,,,,,,
318,146,348,206,378,502,408,291,438,467,468,135,498,546,,,,,,
319,530,349,172,379,165,409,581,439,393,469,272,499,103,,,,,,
320,49,350,166,380,130,410,30,440,578,470,17,,,,,,,,
321,150,351,174,381,633,411,67,441,440,471,302,,,,,,,,
322,119,352,25,382,119,412,275,442,490,472,131,,,,,,,,
323,287,353,29,383,592,413,145,443,137,473,116,,,,,,,,
324,81,354,135,384,123,414,241,444,277,474,73,,,,,,,,
325,582,355,219,385,317,415,354,445,132,475,618,,,,,,,,
326,45,356,106,386,245,416,120,446,123,476,234,,,,,,,,
327,120,357,167,387,231,417,78,447,666,477,159,,,,,,,,
328,30,358,377,388,148,418,81,448,73,478,545,,,,,,,,
329,664,359,315,389,475,419,171,449,330,479,116,,,,,,,,
330,90,360,213,390,238,420,123,450,663,480,5,,,,,,,,
