0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
"THRISSUR,",KERALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,
1,379,31,198,61,289,91,201,121,153,151,125,181,225,211,75,241,89,271,106,,,,,,,,,,,,,,,,,,
2,192,32,7,62,378,92,172,122,175,152,641,182,133,212,52,242,212,272,110,,,,,,,,,,,,,,,,,,
3,441,33,113,63,95,93,194,123,236,153,131,183,72,213,160,243,258,273,343,,,,,,,,,,,,,,,,,,
4,606,34,63,64,366,94,166,124,250,154,251,184,97,214,181,244,75,274,251,,,,,,,,,,,,,,,,,,
5,279,35,229,65,100,95,73,125,91,155,204,185,113,215,651,245,383,275,207,,,,,,,,,,,,,,,,,,
6,170,36,195,66,190,96,51,126,472,156,295,186,125,216,524,246,117,276,361,,,,,,,,,,,,,,,,,,
7,50,37,194,67,190,97,280,127,106,157,35,187,509,217,476,247,73,277,396,,,,,,,,,,,,,,,,,,
8,140,38,158,68,592,98,207,128,295,158,236,188,95,218,58,248,105,278,618,,,,,,,,,,,,,,,,,,
9,249,39,95,69,663,99,136,129,148,159,166,189,292,219,305,249,76,279,170,,,,,,,,,,,,,,,,,,
10,115,40,152,70,205,100,308,130,350,160,163,190,101,220,174,250,140,280,488,,,,,,,,,,,,,,,,,,
11,27,41,565,71,107,101,245,131,544,161,298,191,611,221,277,251,107,281,226,,,,,,,,,,,,,,,,,,
12,360,42,159,72,422,102,185,132,575,162,128,192,173,222,199,252,149,282,56,,,,,,,,,,,,,,,,,,
13,115,43,175,73,127,103,522,133,420,163,155,193,444,223,520,253,605,283,317,,,,,,,,,,,,,,,,,,
14,501,44,114,74,307,104,193,134,116,164,573,194,200,224,157,254,485,284,212,,,,,,,,,,,,,,,,,,
15,119,45,525,75,557,105,145,135,280,165,160,195,241,225,57,255,370,285,326,,,,,,,,,,,,,,,,,,
