0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
"PRADESH,","JABALPUR,",MADHYA,PRADESH,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,
1,99,31,67,61,35,91,100,121,332,151,114,181,80,211,172,241,104,271,459,,,,,,,,,
2,90,32,279,62,71,92,100,122,130,152,358,182,167,212,289,242,436,272,120,,,,,,,,,
3,34,33,116,63,344,93,340,123,114,153,299,183,88,213,182,243,323,273,483,,,,,,,,,
4,272,34,235,64,50,94,90,124,247,154,110,184,253,214,70,244,302,274,176,,,,,,,,,
5,65,35,58,65,153,95,246,125,50,155,92,185,235,215,206,245,170,275,405,,,,,,,,,
6,105,36,76,66,419,96,75,126,378,156,544,186,205,216,200,246,80,276,400,,,,,,,,,
7,202,37,51,67,295,97,139,127,105,157,26,187,123,217,395,247,100,277,400,,,,,,,,,
8,373,38,112,68,143,98,377,128,85,158,72,188,165,218,121,248,80,278,95,,,,,,,,,
9,94,39,181,69,296,99,157,129,195,159,88,189,255,219,34,249,156,279,271,,,,,,,,,
10,59,40,187,70,54,100,45,130,28,160,169,190,121,220,466,250,100,280,218,,,,,,,,,
11,261,41,215,71,170,101,95,131,253,161,253,191,154,221,264,251,109,281,359,,,,,,,,,
12,45,42,154,72,289,102,94,132,335,162,64,192,62,222,257,252,131,282,37,,,,,,,,,
13,650,43,411,73,219,103,199,133,143,163,317,193,113,223,166,253,88,283,41,,,,,,,,,
14,93,44,149,74,62,104,322,134,61,164,129,194,111,224,352,254,125,284,287,,,,,,,,,
15,49,45,89,75,205,105,610,135,143,165,146,195,417,225,45,255,25,285,376,,,,,,,,,
16,308,46,50,76,70,106,50,136,130,166,283,196,449,226,108,256,57,286,85,,,,,,,,,
17,110,47,316,77,201,107,145,137,300,167,100,197,171,227,21,257,282,287,45,,,,,,,,,
18,281,48,409,78,618,108,60,138,42,168,80,198,139,228,449,258,222,288,592,,,,,,,,,
19,158,49,255,79,46,109,435,139,251,169,280,199,70,229,313,259,290,289,138,,,,,,,,,
20,259,50,275,80,88,110,93,140,285,170,244,200,233,230,173,260,177,290,55,,,,,,,,,
21,386,51,595,81,278,111,129,141,562,171,139,201,107,231,100,261,277,291,559,,,,,,,,,
22,407,52,106,82,169,112,48,142,258,172,52,202,311,232,125,262,398,292,81,,,,,,,,,
23,108,53,93,83,610,113,94,143,203,173,428,203,173,233,398,263,683,293,67,,,,,,,,,
24,186,54,60,84,46,114,404,144,377,174,27,204,272,234,87,264,381,294,191,,,,,,,,,
25,153,55,378,85,75,115,299,145,70,175,49,205,292,235,389,265,183,295,91,,,,,,,,,
26,226,56,75,86,115,116,221,146,153,176,162,206,239,236,95,266,232,296,79,,,,,,,,,
27,250,57,188,87,172,117,197,147,367,177,471,207,189,237,170,267,633,297,76,,,,,,,,,
28,253,58,114,88,121,118,70,148,124,178,72,208,46,238,81,268,213,298,79,,,,,,,,,
29,140,59,177,89,61,119,114,149,335,179,87,209,124,239,125,269,405,299,120,,,,,,,,,
30,125,60,220,90,316,120,97,150,113,180,156,210,125,240,103,270,370,300,100,,,,,,,,,
Centre:,300406,ST,JOSEPH`S,CONVENT,GIRLS,S,S,SCH,JABALPUR,"MP,",ST.JOSEPH`S,CONVENT,GIRLS,SR,SEC,SCHOOL,1,AHILYABAI,MARG,CANTT,JABALPUR,MADHYA,NEET,(UG),2024,Page,No.,2
"PRADESH,","JABALPUR,",MADHYA,PRADESH,,,,,,,,,,,,,,,,,,,,,,,,,
