0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,122,31,77,61,201,91,137
2,70,32,110,62,87,92,70
3,355,33,77,63,52,93,34
4,17,34,30,64,46,94,110
5,55,35,205,65,-9,95,38
6,115,36,58,66,77,96,75
7,47,37,65,67,210,97,73
8,44,38,65,68,97,98,194
9,103,39,30,69,362,99,220
10,51,40,81,70,137,100,58
11,148,41,64,71,42,101,54
12,40,42,201,72,70,102,141
13,110,43,155,73,84,103,1
14,80,44,318,74,127,104,44
15,105,45,0,75,104,105,109
16,140,46,162,76,93,106,55
17,72,47,9,77,80,107,77
18,90,48,81,78,447,108,167
19,137,49,31,79,84,109,46
20,131,50,255,80,175,110,97
21,85,51,26,81,57,111,270
22,77,52,27,82,340,112,44
23,34,53,61,83,288,113,84
24,80,54,20,84,457,,
25,55,55,139,85,120,,
26,66,56,45,86,60,,
27,173,57,176,87,25,,
28,56,58,270,88,181,,
29,136,59,49,89,70,,
30,32,60,229,90,50,,
