0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"AURANGABAD,",AURANGABAD,"(MR),",MAHARASHTRA,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,205,31,33,61,4,91,183,121,313,151,329,181,40,211,169
2,127,32,577,62,198,92,411,122,125,152,525,182,216,212,127
3,-4,33,141,63,88,93,86,123,92,153,92,183,366,213,127
4,75,34,55,64,35,94,57,124,24,154,329,184,34,,
5,83,35,194,65,46,95,404,125,28,155,201,185,31,,
6,-4,36,166,66,83,96,102,126,245,156,125,186,217,,
7,262,37,48,67,326,97,95,127,255,157,25,187,462,,
8,28,38,539,68,16,98,341,128,68,158,288,188,15,,
9,76,39,446,69,424,99,205,129,253,159,155,189,31,,
10,233,40,127,70,136,100,66,130,289,160,191,190,74,,
11,302,41,289,71,193,101,303,131,25,161,235,191,50,,
12,122,42,257,72,372,102,64,132,158,162,243,192,55,,
13,191,43,254,73,272,103,126,133,388,163,74,193,52,,
14,265,44,298,74,87,104,24,134,36,164,132,194,558,,
15,109,45,561,75,96,105,79,135,38,165,252,195,191,,
16,205,46,81,76,78,106,138,136,56,166,192,196,198,,
17,30,47,117,77,174,107,38,137,95,167,125,197,307,,
18,65,48,322,78,150,108,579,138,57,168,142,198,40,,
19,213,49,36,79,313,109,360,139,195,169,215,199,14,,
20,355,50,71,80,37,110,622,140,176,170,45,200,47,,
21,106,51,119,81,208,111,401,141,303,171,51,201,444,,
22,467,52,108,82,121,112,287,142,-8,172,266,202,93,,
23,74,53,106,83,368,113,680,143,27,173,38,203,55,,
24,275,54,65,84,288,114,40,144,78,174,425,204,185,,
25,75,55,68,85,234,115,49,145,80,175,386,205,545,,
26,117,56,9,86,437,116,265,146,319,176,238,206,39,,
27,433,57,35,87,9,117,33,147,200,177,66,207,122,,
28,63,58,366,88,115,118,220,148,150,178,407,208,69,,
29,60,59,197,89,175,119,126,149,120,179,522,209,265,,
30,169,60,301,90,440,120,628,150,169,180,46,210,259,,
