0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
"JALGAON,","JALGAON,",MAHARASHTRA,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,
1,401,31,553,61,42,91,38,121,254,151,-19,181,146,211,347,241,167,271,87,,,,,,,
2,94,32,264,62,533,92,326,122,237,152,62,182,390,212,247,242,92,272,57,,,,,,,
3,174,33,48,63,56,93,416,123,154,153,44,183,105,213,128,243,47,273,45,,,,,,,
4,43,34,86,64,61,94,118,124,430,154,254,184,274,214,70,244,513,274,610,,,,,,,
5,50,35,97,65,89,95,197,125,153,155,259,185,695,215,267,245,205,275,69,,,,,,,
6,166,36,262,66,29,96,183,126,101,156,63,186,64,216,257,246,186,276,101,,,,,,,
7,80,37,61,67,-3,97,43,127,57,157,153,187,523,217,187,247,122,277,88,,,,,,,
8,11,38,235,68,84,98,40,128,298,158,121,188,31,218,102,248,20,278,127,,,,,,,
9,98,39,65,69,42,99,95,129,49,159,581,189,30,219,416,249,59,279,26,,,,,,,
10,136,40,295,70,364,100,9,130,45,160,102,190,88,220,309,250,524,280,77,,,,,,,
11,62,41,117,71,176,101,83,131,492,161,145,191,270,221,58,251,46,281,116,,,,,,,
12,580,42,112,72,153,102,120,132,38,162,35,192,20,222,85,252,147,282,500,,,,,,,
13,40,43,31,73,147,103,82,133,79,163,110,193,198,223,482,253,106,283,117,,,,,,,
14,229,44,121,74,255,104,160,134,81,164,300,194,71,224,367,254,40,284,42,,,,,,,
15,25,45,172,75,94,105,157,135,392,165,438,195,97,225,100,255,42,285,464,,,,,,,
16,35,46,114,76,79,106,107,136,22,166,15,196,503,226,58,256,93,286,20,,,,,,,
17,121,47,46,77,45,107,256,137,113,167,46,197,152,227,594,257,82,287,150,,,,,,,
18,145,48,131,78,412,108,279,138,617,168,335,198,96,228,0,258,37,288,444,,,,,,,
19,348,49,152,79,79,109,113,139,84,169,64,199,38,229,287,259,209,289,379,,,,,,,
20,280,50,128,80,409,110,318,140,44,170,94,200,338,230,110,260,75,290,66,,,,,,,
21,50,51,101,81,484,111,135,141,35,171,205,201,42,231,163,261,363,291,33,,,,,,,
22,278,52,629,82,110,112,151,142,143,172,473,202,110,232,171,262,330,292,161,,,,,,,
23,170,53,147,83,628,113,87,143,112,173,65,203,217,233,73,263,67,293,27,,,,,,,
24,78,54,25,84,95,114,212,144,187,174,56,204,322,234,65,264,313,294,65,,,,,,,
25,43,55,230,85,86,115,40,145,123,175,225,205,171,235,360,265,62,295,50,,,,,,,
26,100,56,97,86,-10,116,47,146,356,176,33,206,57,236,90,266,40,296,91,,,,,,,
27,59,57,218,87,261,117,58,147,49,177,497,207,90,237,162,267,41,297,142,,,,,,,
28,170,58,568,88,378,118,265,148,37,178,47,208,261,238,191,268,18,298,381,,,,,,,
29,18,59,80,89,309,119,243,149,61,179,123,209,71,239,202,269,49,299,366,,,,,,,
30,130,60,180,90,447,120,194,150,62,180,257,210,102,240,113,270,208,300,310,,,,,,,
Centre:,310706,L.H.PATIL,ENGLISH,MEDIUM,SCHOOL,"MH,",L,H,PATIL,ENGLISH,MEDIUM,SCHOOL,GAT.NO.357/A,NEAR,HOTEL,ADINATH,MEHRUN,SHIWAR,SHIRSOLI,ROAD,NEET,(UG),2024,Page,No.,2
"JALGAON,","JALGAON,",MAHARASHTRA,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,
301,50,331,382,361,292,391,152,421,112,451,327,,,,,,,,,,,,,,,
302,23,332,289,362,63,392,528,422,107,452,515,,,,,,,,,,,,,,,
303,113,333,79,363,212,393,109,423,79,453,146,,,,,,,,,,,,,,,
304,20,334,-4,364,48,394,73,424,183,454,535,,,,,,,,,,,,,,,
305,8,335,70,365,261,395,54,425,-6,455,116,,,,,,,,,,,,,,,
