0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
COLLEGE,KARAULI,RAJASTHAN,"322241,","KARAULI,",RAJASTHAN,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,
1,500,31,179,61,98,91,63,121,481,151,321,181,96,211,497,241,241,271,540,,,,
2,547,32,401,62,-12,92,254,122,15,152,261,182,90,212,150,242,176,272,30,,,,
3,467,33,195,63,115,93,287,123,306,153,361,183,171,213,218,243,34,273,120,,,,
4,42,34,146,64,380,94,125,124,476,154,66,184,53,214,272,244,235,274,10,,,,
5,77,35,53,65,55,95,258,125,118,155,220,185,98,215,219,245,134,275,127,,,,
6,640,36,236,66,255,96,114,126,86,156,154,186,145,216,246,246,303,276,511,,,,
7,380,37,50,67,107,97,93,127,87,157,464,187,76,217,48,247,155,277,9,,,,
8,46,38,80,68,145,98,39,128,62,158,177,188,203,218,60,248,326,278,275,,,,
9,115,39,342,69,128,99,558,129,162,159,70,189,263,219,168,249,55,279,636,,,,
10,417,40,70,70,525,100,125,130,333,160,169,190,94,220,585,250,131,280,322,,,,
11,101,41,131,71,614,101,225,131,249,161,32,191,151,221,209,251,383,281,343,,,,
12,96,42,559,72,146,102,314,132,27,162,107,192,150,222,585,252,569,282,201,,,,
13,152,43,200,73,85,103,58,133,138,163,81,193,346,223,222,253,70,283,50,,,,
14,443,44,357,74,57,104,113,134,106,164,169,194,651,224,49,254,130,284,150,,,,
15,128,45,374,75,91,105,138,135,170,165,184,195,67,225,600,255,164,285,107,,,,
16,443,46,295,76,369,106,115,136,153,166,176,196,113,226,63,256,120,286,80,,,,
17,176,47,88,77,232,107,339,137,258,167,158,197,162,227,415,257,125,287,381,,,,
18,403,48,120,78,286,108,107,138,68,168,92,198,496,228,65,258,94,288,148,,,,
19,141,49,190,79,34,109,376,139,20,169,530,199,26,229,112,259,563,289,324,,,,
20,209,50,553,80,264,110,353,140,150,170,157,200,185,230,231,260,96,290,88,,,,
21,107,51,219,81,529,111,238,141,366,171,239,201,157,231,208,261,246,291,10,,,,
22,204,52,145,82,87,112,111,142,155,172,152,202,235,232,187,262,264,292,350,,,,
23,133,53,490,83,675,113,158,143,124,173,550,203,95,233,642,263,262,293,194,,,,
24,92,54,367,84,366,114,572,144,126,174,584,204,389,234,91,264,354,294,421,,,,
25,112,55,503,85,111,115,115,145,450,175,71,205,193,235,289,265,431,295,590,,,,
26,102,56,99,86,394,116,662,146,65,176,586,206,143,236,536,266,285,296,93,,,,
27,566,57,424,87,224,117,224,147,614,177,55,207,265,237,391,267,210,297,570,,,,
28,424,58,57,88,98,118,244,148,68,178,198,208,340,238,532,268,680,298,163,,,,
29,71,59,440,89,153,119,125,149,240,179,94,209,124,239,142,269,340,299,88,,,,
30,25,60,184,90,290,120,519,150,132,180,431,210,424,240,35,270,-10,300,112,,,,
Centre:,391906,KENDRIYA,VIDYALAYA,KARAULI,BEHIND,GOVT,PG,COLLEGE,KARAULI,RAJASTHAN,"PINCODE-322241,",KENDRIYA,VIDYALAYA,KARAULI,BEHIND,GOVT,PG,NEET,(UG),2024,Page,No.,2
COLLEGE,KARAULI,RAJASTHAN,"322241,","KARAULI,",RAJASTHAN,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,
301,227,331,96,361,129,391,570,421,321,451,117,481,267,511,174,541,70,,,,,,
302,70,332,235,362,159,392,289,422,510,452,100,482,599,512,275,542,86,,,,,,
303,135,333,80,363,45,393,63,423,45,453,243,483,45,513,126,543,276,,,,,,
304,337,334,435,364,278,394,30,424,77,454,589,484,248,514,56,544,48,,,,,,
305,97,335,490,365,284,395,160,425,106,455,315,485,642,515,151,545,555,,,,,,
306,448,336,150,366,263,396,188,426,349,456,28,486,71,516,159,546,451,,,,,,
307,157,337,76,367,103,397,23,427,77,457,52,487,392,517,407,547,171,,,,,,
308,102,338,110,368,70,398,104,428,232,458,685,488,182,518,224,548,409,,,,,,
309,11,339,141,369,50,399,231,429,331,459,274,489,193,519,544,549,292,,,,,,
310,79,340,110,370,60,400,207,430,83,460,116,490,266,520,463,550,205,,,,,,
311,498,341,390,371,581,401,20,431,119,461,327,491,320,521,133,551,118,,,,,,
312,75,342,58,372,197,402,132,432,73,462,114,492,192,522,108,552,75,,,,,,
313,176,343,254,373,188,403,9,433,118,463,128,493,478,523,131,553,349,,,,,,
314,77,344,369,374,85,404,143,434,80,464,84,494,173,524,8,554,121,,,,,,
315,30,345,470,375,146,405,264,435,119,465,92,495,267,525,203,555,301,,,,,,
316,-10,346,27,376,95,406,521,436,229,466,293,496,231,526,233,556,52,,,,,,
317,327,347,160,377,151,407,189,437,120,467,383,497,342,527,6,557,171,,,,,,
318,106,348,384,378,46,408,262,438,34,468,27,498,147,528,447,558,422,,,,,,
319,459,349,163,379,199,409,280,439,155,469,29,499,104,529,210,559,146,,,,,,
320,85,350,54,380,70,410,129,440,121,470,361,500,115,530,125,560,534,,,,,,
321,357,351,196,381,67,411,160,441,51,471,251,501,349,531,295,561,547,,,,,,
322,449,352,60,382,191,412,164,442,271,472,673,502,558,532,201,562,132,,,,,,
323,469,353,40,383,617,413,170,443,201,473,270,503,562,533,100,563,676,,,,,,
324,57,354,620,384,15,414,55,444,171,474,204,504,25,534,151,564,112,,,,,,
325,100,355,75,385,176,415,527,445,29,475,76,505,331,535,115,565,133,,,,,,
326,11,356,324,386,563,416,33,446,96,476,79,506,87,536,444,566,65,,,,,,
327,506,357,604,387,165,417,416,447,362,477,125,507,125,537,588,,,,,,,,
328,71,358,64,388,159,418,650,448,237,478,608,508,522,538,96,,,,,,,,
329,66,359,254,389,128,419,212,449,122,479,119,509,93,539,205,,,,,,,,
330,107,360,630,390,75,420,223,450,36,480,109,510,121,540,57,,,,,,,,
