0,1,2,3,4,5,6,7,8,9,10,11,12,13
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,87,31,82,61,39,91,115,121,164,151,48,181,215
2,69,32,363,62,174,92,506,122,56,152,81,182,47
3,53,33,108,63,87,93,62,123,73,153,81,183,100
4,118,34,94,64,102,94,100,124,62,154,93,184,220
5,100,35,103,65,79,95,210,125,75,155,75,185,100
6,60,36,82,66,35,96,162,126,291,156,30,186,198
7,73,37,165,67,164,97,80,127,125,157,536,187,80
8,170,38,104,68,148,98,20,128,103,158,50,188,45
9,56,39,99,69,89,99,112,129,203,159,163,189,58
10,118,40,60,70,178,100,9,130,171,160,55,190,139
11,181,41,253,71,378,101,81,131,114,161,51,191,100
12,100,42,219,72,74,102,150,132,126,162,185,192,236
13,120,43,107,73,440,103,119,133,82,163,125,193,398
14,308,44,40,74,105,104,75,134,400,164,68,194,85
15,122,45,25,75,600,105,93,135,163,165,109,195,202
16,84,46,186,76,120,106,354,136,120,166,111,196,100
17,362,47,95,77,167,107,94,137,89,167,223,197,95
18,164,48,108,78,73,108,122,138,255,168,135,198,101
19,65,49,58,79,118,109,92,139,65,169,110,199,373
20,80,50,262,80,124,110,120,140,22,170,102,200,89
21,84,51,104,81,141,111,195,141,61,171,97,201,210
22,154,52,111,82,532,112,74,142,65,172,130,,
23,140,53,70,83,77,113,389,143,137,173,122,,
24,145,54,95,84,120,114,73,144,49,174,190,,
25,162,55,83,85,120,115,64,145,151,175,221,,
26,93,56,173,86,109,116,126,146,106,176,66,,
27,108,57,105,87,37,117,94,147,120,177,192,,
28,127,58,313,88,175,118,128,148,55,178,70,,
29,56,59,95,89,203,119,105,149,100,179,60,,
30,180,60,97,90,74,120,235,150,100,180,90,,
