0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,
1,23,31,112,61,417,91,290,121,560,151,295,181,166,211,545,241,151,271,385,,,,,,,,,,
2,162,32,195,62,75,92,53,122,34,152,289,182,383,212,66,242,39,272,144,,,,,,,,,,
3,82,33,396,63,109,93,55,123,154,153,94,183,16,213,148,243,110,273,116,,,,,,,,,,
4,241,34,362,64,95,94,389,124,84,154,422,184,50,214,220,244,295,274,160,,,,,,,,,,
5,86,35,290,65,177,95,282,125,522,155,57,185,210,215,346,245,139,275,309,,,,,,,,,,
6,55,36,93,66,125,96,264,126,230,156,62,186,274,216,167,246,224,276,85,,,,,,,,,,
7,450,37,48,67,498,97,181,127,147,157,172,187,176,217,213,247,320,277,209,,,,,,,,,,
8,166,38,547,68,643,98,149,128,80,158,599,188,124,218,274,248,291,278,113,,,,,,,,,,
9,132,39,149,69,205,99,710,129,223,159,59,189,270,219,216,249,140,279,271,,,,,,,,,,
10,158,40,61,70,218,100,158,130,35,160,61,190,254,220,464,250,171,280,58,,,,,,,,,,
11,100,41,246,71,102,101,200,131,135,161,466,191,173,221,118,251,652,281,59,,,,,,,,,,
12,92,42,136,72,463,102,685,132,472,162,115,192,25,222,428,252,52,282,304,,,,,,,,,,
13,201,43,221,73,298,103,137,133,62,163,304,193,155,223,564,253,256,283,71,,,,,,,,,,
14,224,44,134,74,534,104,191,134,176,164,155,194,120,224,238,254,130,284,157,,,,,,,,,,
15,92,45,59,75,349,105,16,135,502,165,271,195,182,225,34,255,38,285,92,,,,,,,,,,
16,262,46,273,76,133,106,415,136,80,166,87,196,300,226,145,256,240,286,157,,,,,,,,,,
17,145,47,495,77,225,107,66,137,145,167,386,197,322,227,25,257,65,287,551,,,,,,,,,,
18,59,48,404,78,205,108,78,138,259,168,147,198,274,228,115,258,373,288,293,,,,,,,,,,
19,48,49,150,79,46,109,326,139,30,169,292,199,545,229,101,259,102,289,128,,,,,,,,,,
20,34,50,364,80,107,110,269,140,342,170,211,200,29,230,358,260,78,290,340,,,,,,,,,,
21,460,51,162,81,97,111,124,141,159,171,331,201,25,231,18,261,350,291,343,,,,,,,,,,
22,364,52,85,82,77,112,346,142,329,172,201,202,283,232,422,262,209,292,45,,,,,,,,,,
23,75,53,560,83,70,113,146,143,299,173,50,203,430,233,470,263,534,293,377,,,,,,,,,,
24,487,54,75,84,75,114,169,144,429,174,156,204,120,234,461,264,257,294,83,,,,,,,,,,
25,75,55,136,85,396,115,130,145,242,175,83,205,408,235,488,265,93,295,440,,,,,,,,,,
26,52,56,271,86,368,116,150,146,489,176,158,206,77,236,458,266,77,296,185,,,,,,,,,,
27,81,57,257,87,508,117,74,147,48,177,45,207,183,237,416,267,230,297,121,,,,,,,,,,
28,132,58,131,88,184,118,114,148,234,178,254,208,261,238,60,268,217,298,494,,,,,,,,,,
29,223,59,154,89,89,119,337,149,200,179,-5,209,185,239,113,269,72,299,167,,,,,,,,,,
30,19,60,156,90,587,120,691,150,680,180,74,210,200,240,283,270,352,300,137,,,,,,,,,,
