0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
KANPUR,UTTAR,"PRADESH,","KANPUR,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,
1,400,31,358,61,453,91,108,121,75,151,177,181,269,211,421,241,97,271,519,,,,,,,,,,,
2,-5,32,73,62,320,92,96,122,519,152,56,182,655,212,120,242,234,272,20,,,,,,,,,,,
3,93,33,113,63,388,93,539,123,123,153,535,183,473,213,433,243,285,273,479,,,,,,,,,,,
4,468,34,218,64,360,94,59,124,569,154,349,184,35,214,573,244,549,274,90,,,,,,,,,,,
5,431,35,74,65,298,95,35,125,454,155,121,185,458,215,261,245,649,275,86,,,,,,,,,,,
6,29,36,100,66,210,96,116,126,291,156,488,186,426,216,266,246,319,276,176,,,,,,,,,,,
7,219,37,149,67,270,97,72,127,287,157,-3,187,403,217,73,247,280,277,489,,,,,,,,,,,
8,271,38,424,68,141,98,671,128,125,158,186,188,79,218,26,248,135,278,283,,,,,,,,,,,
9,103,39,105,69,123,99,50,129,478,159,110,189,91,219,171,249,451,279,654,,,,,,,,,,,
10,528,40,148,70,313,100,33,130,125,160,65,190,108,220,464,250,52,280,225,,,,,,,,,,,
11,274,41,50,71,80,101,54,131,586,161,156,191,319,221,240,251,69,281,176,,,,,,,,,,,
12,371,42,184,72,72,102,150,132,403,162,131,192,605,222,186,252,530,282,60,,,,,,,,,,,
13,160,43,240,73,110,103,230,133,104,163,70,193,109,223,411,253,131,283,84,,,,,,,,,,,
14,456,44,269,74,572,104,165,134,374,164,56,194,430,224,505,254,343,284,383,,,,,,,,,,,
15,193,45,536,75,559,105,529,135,196,165,427,195,274,225,15,255,181,285,289,,,,,,,,,,,
16,113,46,306,76,400,106,542,136,124,166,73,196,85,226,210,256,650,286,244,,,,,,,,,,,
17,419,47,86,77,499,107,380,137,413,167,184,197,551,227,594,257,60,287,131,,,,,,,,,,,
18,101,48,238,78,133,108,88,138,122,168,53,198,62,228,193,258,70,288,304,,,,,,,,,,,
19,389,49,593,79,504,109,41,139,63,169,175,199,155,229,94,259,136,289,101,,,,,,,,,,,
20,98,50,45,80,109,110,-8,140,589,170,377,200,278,230,73,260,197,290,525,,,,,,,,,,,
21,51,51,217,81,683,111,35,141,599,171,79,201,429,231,324,261,516,291,110,,,,,,,,,,,
22,517,52,412,82,66,112,213,142,506,172,600,202,144,232,69,262,48,292,151,,,,,,,,,,,
23,223,53,160,83,318,113,534,143,34,173,165,203,145,233,400,263,306,293,532,,,,,,,,,,,
24,48,54,457,84,105,114,105,144,66,174,193,204,61,234,231,264,50,294,109,,,,,,,,,,,
25,120,55,46,85,643,115,39,145,135,175,94,205,229,235,315,265,289,295,125,,,,,,,,,,,
26,451,56,580,86,91,116,101,146,83,176,104,206,281,236,75,266,219,296,301,,,,,,,,,,,
27,317,57,63,87,153,117,340,147,11,177,520,207,177,237,138,267,42,297,73,,,,,,,,,,,
28,-24,58,65,88,341,118,67,148,469,178,51,208,573,238,411,268,232,298,678,,,,,,,,,,,
29,366,59,360,89,20,119,30,149,60,179,84,209,100,239,388,269,80,299,100,,,,,,,,,,,
30,512,60,310,90,59,120,374,150,333,180,62,210,511,240,40,270,140,300,610,,,,,,,,,,,
Centre:,440731,S,G,M,INTNL,SCH,INDIRA,NAGAR,KALYANPUR,KANPUR,"UP,",S,G,M,INTERNATIONAL,SCHOOL,PLOT,NO,-,C-1/198,C-BLOCK,INDIRA,NAGAR,KALYANPUR,NEET,(UG),2024,Page,No.,2
KANPUR,UTTAR,"PRADESH,","KANPUR,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,
301,19,331,434,361,509,391,174,421,254,451,115,481,660,,,,,,,,,,,,,,,,,
302,35,332,169,362,151,392,122,422,591,452,361,482,386,,,,,,,,,,,,,,,,,
303,112,333,329,363,106,393,373,423,122,453,138,483,188,,,,,,,,,,,,,,,,,
304,114,334,580,364,84,394,117,424,95,454,81,484,356,,,,,,,,,,,,,,,,,
305,282,335,526,365,177,395,152,425,415,455,267,485,7,,,,,,,,,,,,,,,,,
306,110,336,78,366,263,396,53,426,229,456,136,486,36,,,,,,,,,,,,,,,,,
307,139,337,372,367,45,397,11,427,25,457,171,487,100,,,,,,,,,,,,,,,,,
308,414,338,681,368,47,398,130,428,346,458,306,488,218,,,,,,,,,,,,,,,,,
309,44,339,503,369,65,399,494,429,26,459,308,489,109,,,,,,,,,,,,,,,,,
310,257,340,69,370,331,400,26,430,461,460,119,,,,,,,,,,,,,,,,,,,
311,328,341,448,371,389,401,100,431,118,461,253,,,,,,,,,,,,,,,,,,,
312,115,342,24,372,142,402,84,432,181,462,68,,,,,,,,,,,,,,,,,,,
313,288,343,606,373,80,403,320,433,84,463,242,,,,,,,,,,,,,,,,,,,
314,50,344,107,374,305,404,160,434,135,464,170,,,,,,,,,,,,,,,,,,,
315,441,345,86,375,272,405,-8,435,150,465,326,,,,,,,,,,,,,,,,,,,
316,130,346,655,376,25,406,430,436,645,466,411,,,,,,,,,,,,,,,,,,,
317,163,347,65,377,84,407,192,437,161,467,566,,,,,,,,,,,,,,,,,,,
318,105,348,40,378,154,408,225,438,80,468,502,,,,,,,,,,,,,,,,,,,
319,75,349,10,379,171,409,439,439,313,469,297,,,,,,,,,,,,,,,,,,,
320,473,350,315,380,574,410,350,440,335,470,146,,,,,,,,,,,,,,,,,,,
321,517,351,70,381,130,411,171,441,178,471,418,,,,,,,,,,,,,,,,,,,
322,287,352,520,382,366,412,326,442,155,472,110,,,,,,,,,,,,,,,,,,,
323,449,353,452,383,602,413,324,443,162,473,135,,,,,,,,,,,,,,,,,,,
324,134,354,163,384,97,414,190,444,23,474,521,,,,,,,,,,,,,,,,,,,
325,517,355,424,385,145,415,145,445,78,475,282,,,,,,,,,,,,,,,,,,,
326,277,356,430,386,106,416,421,446,56,476,62,,,,,,,,,,,,,,,,,,,
327,70,357,268,387,-20,417,380,447,65,477,369,,,,,,,,,,,,,,,,,,,
328,501,358,159,388,483,418,194,448,392,478,209,,,,,,,,,,,,,,,,,,,
329,228,359,673,389,333,419,167,449,75,479,427,,,,,,,,,,,,,,,,,,,
330,146,360,156,390,130,420,184,450,35,480,139,,,,,,,,,,,,,,,,,,,
