0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,
1,5,31,106,61,222,91,290,121,105,151,71,181,419,211,84,241,197,271,620,,,,,,,,,,,,,,
2,192,32,547,62,568,92,355,122,299,152,186,182,106,212,60,242,40,272,140,,,,,,,,,,,,,,
3,100,33,468,63,333,93,331,123,81,153,5,183,51,213,120,243,41,273,55,,,,,,,,,,,,,,
4,73,34,589,64,39,94,164,124,98,154,82,184,43,214,120,244,41,274,120,,,,,,,,,,,,,,
5,146,35,388,65,63,95,538,125,274,155,61,185,303,215,71,245,90,275,150,,,,,,,,,,,,,,
6,72,36,131,66,69,96,171,126,278,156,74,186,30,216,582,246,456,276,348,,,,,,,,,,,,,,
7,146,37,545,67,35,97,141,127,255,157,85,187,235,217,62,247,59,277,618,,,,,,,,,,,,,,
8,158,38,177,68,75,98,61,128,508,158,110,188,85,218,290,248,177,278,95,,,,,,,,,,,,,,
9,533,39,18,69,606,99,130,129,97,159,55,189,45,219,200,249,5,279,303,,,,,,,,,,,,,,
10,144,40,87,70,55,100,60,130,208,160,75,190,551,220,32,250,35,280,45,,,,,,,,,,,,,,
11,530,41,53,71,160,101,129,131,136,161,115,191,51,221,88,251,91,281,349,,,,,,,,,,,,,,
12,225,42,52,72,60,102,150,132,300,162,64,192,286,222,75,252,76,282,44,,,,,,,,,,,,,,
13,-34,43,293,73,75,103,656,133,167,163,129,193,217,223,331,253,55,283,195,,,,,,,,,,,,,,
14,103,44,23,74,0,104,50,134,471,164,270,194,163,224,124,254,73,284,78,,,,,,,,,,,,,,
15,58,45,67,75,46,105,18,135,16,165,115,195,85,225,210,255,173,285,453,,,,,,,,,,,,,,
16,81,46,51,76,69,106,56,136,110,166,449,196,38,226,5,256,65,286,267,,,,,,,,,,,,,,
17,121,47,537,77,5,107,68,137,133,167,204,197,121,227,41,257,0,287,37,,,,,,,,,,,,,,
18,228,48,110,78,111,108,30,138,140,168,124,198,187,228,52,258,123,288,334,,,,,,,,,,,,,,
19,388,49,204,79,228,109,72,139,686,169,116,199,249,229,80,259,164,289,221,,,,,,,,,,,,,,
20,62,50,94,80,15,110,52,140,141,170,36,200,245,230,17,260,164,290,65,,,,,,,,,,,,,,
21,50,51,121,81,57,111,5,141,601,171,91,201,128,231,20,261,127,291,68,,,,,,,,,,,,,,
22,61,52,179,82,362,112,40,142,204,172,116,202,90,232,78,262,127,292,169,,,,,,,,,,,,,,
23,58,53,96,83,85,113,385,143,81,173,507,203,96,233,131,263,76,293,44,,,,,,,,,,,,,,
24,54,54,68,84,35,114,57,144,106,174,35,204,136,234,99,264,5,294,84,,,,,,,,,,,,,,
25,5,55,43,85,107,115,145,145,71,175,49,205,65,235,20,265,81,295,174,,,,,,,,,,,,,,
26,343,56,70,86,110,116,30,146,89,176,155,206,256,236,20,266,102,296,197,,,,,,,,,,,,,,
27,208,57,109,87,448,117,43,147,100,177,183,207,60,237,36,267,333,297,46,,,,,,,,,,,,,,
28,71,58,72,88,91,118,124,148,35,178,80,208,26,238,60,268,87,298,418,,,,,,,,,,,,,,
29,200,59,70,89,138,119,199,149,639,179,142,209,175,239,224,269,107,299,105,,,,,,,,,,,,,,
