0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,
1,60,31,114,61,318,91,286,121,53,151,87,181,204,211,76,241,289,271,187,
2,198,32,125,62,88,92,165,122,150,152,66,182,273,212,7,242,56,272,61,
3,449,33,50,63,80,93,168,123,277,153,138,183,234,213,258,243,148,273,442,
4,102,34,107,64,198,94,103,124,82,154,79,184,61,214,252,244,152,274,131,
5,89,35,95,65,106,95,227,125,73,155,146,185,65,215,231,245,238,275,651,
6,195,36,142,66,108,96,416,126,115,156,73,186,91,216,217,246,65,276,56,
7,240,37,34,67,130,97,441,127,210,157,147,187,442,217,617,247,107,277,130,
8,103,38,402,68,587,98,114,128,93,158,62,188,70,218,90,248,125,278,183,
9,167,39,73,69,234,99,459,129,70,159,243,189,138,219,100,249,233,279,94,
10,140,40,90,70,593,100,176,130,320,160,94,190,205,220,97,250,111,280,43,
11,163,41,108,71,200,101,202,131,442,161,384,191,71,221,333,251,30,281,117,
12,70,42,21,72,13,102,420,132,110,162,31,192,280,222,141,252,100,282,75,
13,30,43,129,73,151,103,124,133,403,163,100,193,103,223,157,253,294,283,480,
14,67,44,154,74,131,104,119,134,123,164,231,194,166,224,665,254,173,284,334,
15,183,45,321,75,113,105,105,135,135,165,53,195,36,225,48,255,170,285,193,
16,282,46,317,76,239,106,155,136,81,166,177,196,84,226,0,256,513,286,283,
17,98,47,141,77,113,107,98,137,113,167,153,197,57,227,87,257,359,287,49,
18,393,48,394,78,341,108,361,138,170,168,91,198,139,228,70,258,87,288,187,
19,236,49,42,79,119,109,52,139,83,169,130,199,185,229,35,259,125,289,197,
20,35,50,86,80,166,110,94,140,418,170,77,200,175,230,71,260,237,290,142,
21,170,51,152,81,65,111,120,141,90,171,71,201,65,231,389,261,195,291,231,
22,128,52,44,82,59,112,43,142,92,172,118,202,259,232,106,262,45,292,112,
23,194,53,107,83,609,113,432,143,157,173,36,203,40,233,616,263,251,293,114,
24,25,54,232,84,176,114,176,144,130,174,190,204,109,234,119,264,41,294,65,
25,133,55,15,85,401,115,84,145,648,175,222,205,105,235,118,265,112,295,239,
26,208,56,39,86,204,116,146,146,278,176,97,206,90,236,273,266,62,296,56,
27,282,57,237,87,118,117,312,147,153,177,295,207,55,237,160,267,198,297,131,
28,61,58,313,88,75,118,348,148,116,178,70,208,54,238,611,268,88,298,20,
29,48,59,265,89,97,119,45,149,133,179,321,209,141,239,190,269,72,299,185,
30,229,60,94,90,544,120,150,150,70,180,89,210,101,240,140,270,223,300,15,
Centre:,443602,AIMS,INTERNATIONAL,SR.,SEC.,"SCHOOL,",CIRCULAR,ROAD,NEAR,KARBALA,"GONDA,","GONDA,",UTTAR,PRADESH,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,
301,184,331,385,361,70,391,47,421,42,451,199,481,135,511,334,541,262,571,267,
302,37,332,330,362,325,392,139,422,90,452,149,482,257,512,58,542,52,572,281,
303,63,333,249,363,510,393,22,423,53,453,51,483,187,513,93,543,58,573,314,
304,77,334,343,364,65,394,213,424,276,454,129,484,161,514,91,544,31,574,421,
305,234,335,508,365,323,395,60,425,166,455,88,485,351,515,105,545,165,575,277,
306,289,336,86,366,354,396,46,426,20,456,185,486,137,516,334,546,199,576,249,
307,473,337,85,367,136,397,299,427,90,457,214,487,433,517,103,547,203,577,130,
308,276,338,115,368,54,398,301,428,188,458,218,488,75,518,100,548,125,578,276,
309,99,339,83,369,174,399,118,429,111,459,265,489,127,519,494,549,513,579,563,
310,74,340,212,370,240,400,49,430,164,460,188,490,161,520,71,550,167,580,171,
311,436,341,80,371,79,401,45,431,150,461,85,491,196,521,130,551,168,581,464,
312,399,342,99,372,238,402,101,432,50,462,11,492,228,522,78,552,129,582,49,
313,59,343,68,373,104,403,55,433,115,463,188,493,214,523,112,553,398,583,110,
314,161,344,58,374,145,404,49,434,224,464,115,494,102,524,218,554,282,584,382,
315,138,345,400,375,112,405,155,435,220,465,98,495,61,525,157,555,86,585,176,
316,92,346,82,376,527,406,77,436,275,466,52,496,4,526,74,556,84,586,124,
317,121,347,0,377,66,407,132,437,304,467,279,497,250,527,233,557,181,587,612,
318,450,348,269,378,368,408,240,438,82,468,312,498,382,528,87,558,94,588,483,
319,360,349,523,379,84,409,59,439,26,469,313,499,356,529,59,559,176,589,555,
320,315,350,441,380,215,410,101,440,53,470,320,500,67,530,268,560,95,590,110,
321,175,351,153,381,81,411,235,441,322,471,145,501,333,531,56,561,498,591,449,
322,131,352,45,382,657,412,94,442,352,472,154,502,160,532,287,562,443,592,35,
323,245,353,88,383,109,413,40,443,343,473,51,503,449,533,84,563,136,593,209,
324,305,354,210,384,75,414,385,444,94,474,117,504,76,534,198,564,43,,,
325,82,355,461,385,470,415,415,445,90,475,106,505,140,535,132,565,9,,,
326,149,356,94,386,45,416,71,446,64,476,645,506,120,536,215,566,143,,,
327,174,357,598,387,404,417,128,447,282,477,82,507,117,537,238,567,30,,,
328,83,358,191,388,464,418,451,448,33,478,182,508,56,538,670,568,32,,,
329,377,359,108,389,30,419,312,449,181,479,613,509,370,539,98,569,543,,,
330,68,360,109,390,130,420,164,450,179,480,231,510,176,540,143,570,268,,,
