0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,
1,48,31,351,61,496,91,185,121,107,151,409,181,536,211,123,241,57,271,82,,
2,641,32,301,62,518,92,110,122,84,152,137,182,107,212,278,242,158,272,201,,
3,413,33,105,63,79,93,256,123,259,153,169,183,146,213,242,243,193,273,75,,
4,79,34,216,64,406,94,475,124,29,154,236,184,342,214,128,244,192,274,428,,
5,561,35,151,65,182,95,550,125,661,155,240,185,313,215,189,245,75,275,144,,
6,115,36,58,66,82,96,135,126,185,156,52,186,350,216,664,246,100,276,95,,
7,315,37,29,67,68,97,238,127,507,157,268,187,41,217,65,247,237,277,377,,
8,88,38,183,68,349,98,100,128,128,158,120,188,338,218,215,248,60,278,60,,
9,167,39,461,69,92,99,153,129,252,159,269,189,78,219,115,249,189,279,278,,
10,398,40,281,70,452,100,151,130,261,160,575,190,85,220,363,250,122,280,202,,
11,237,41,95,71,442,101,212,131,123,161,48,191,241,221,146,251,257,281,621,,
12,79,42,142,72,89,102,118,132,96,162,140,192,414,222,49,252,98,282,47,,
13,182,43,277,73,276,103,304,133,189,163,266,193,450,223,86,253,175,283,112,,
14,92,44,136,74,251,104,198,134,279,164,229,194,331,224,387,254,143,284,241,,
15,220,45,153,75,179,105,142,135,128,165,145,195,193,225,96,255,159,285,181,,
16,392,46,26,76,270,106,99,136,243,166,94,196,54,226,85,256,98,286,295,,
17,241,47,72,77,117,107,424,137,494,167,187,197,205,227,88,257,581,287,85,,
18,262,48,202,78,100,108,112,138,142,168,160,198,205,228,227,258,55,288,528,,
19,60,49,255,79,252,109,113,139,215,169,432,199,482,229,31,259,369,289,121,,
20,182,50,206,80,317,110,136,140,94,170,246,200,41,230,102,260,90,290,230,,
21,474,51,70,81,379,111,222,141,340,171,233,201,284,231,112,261,568,291,409,,
22,118,52,72,82,226,112,228,142,153,172,177,202,125,232,165,262,232,292,569,,
23,209,53,98,83,103,113,62,143,64,173,71,203,109,233,82,263,72,293,468,,
24,57,54,465,84,96,114,390,144,44,174,222,204,72,234,206,264,300,294,368,,
25,11,55,180,85,387,115,241,145,174,175,190,205,49,235,510,265,295,295,251,,
26,444,56,15,86,289,116,196,146,179,176,467,206,311,236,125,266,163,296,85,,
27,268,57,576,87,90,117,393,147,174,177,541,207,172,237,140,267,42,297,87,,
28,248,58,160,88,47,118,670,148,100,178,96,208,30,238,45,268,253,298,222,,
29,146,59,142,89,386,119,29,149,84,179,110,209,98,239,461,269,160,299,295,,
30,21,60,88,90,474,120,256,150,628,180,213,210,94,240,29,270,41,300,84,,
Centre:,445101,SIDDHARTH,PUB,"SCHOOL,",SIDDHARTH,PUBLIC,SCHOOL,CIVIL,LINE,THARAULI,SIDDHARTH,"NAGAR,","NAUGARH,",UTTAR,PRADESH,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,
301,193,331,209,361,65,391,253,421,395,451,65,481,371,511,211,541,151,571,186,,
302,478,332,220,362,304,392,64,422,75,452,45,482,60,512,103,542,419,572,18,,
303,565,333,23,363,114,393,141,423,386,453,70,483,521,513,70,543,29,573,305,,
304,231,334,326,364,228,394,100,424,70,454,268,484,219,514,361,544,122,574,106,,
305,195,335,36,365,316,395,50,425,37,455,197,485,119,515,214,545,176,575,290,,
306,157,336,207,366,320,396,266,426,288,456,58,486,384,516,47,546,270,576,212,,
307,214,337,71,367,496,397,30,427,270,457,543,487,265,517,25,547,58,577,579,,
308,188,338,96,368,347,398,27,428,135,458,165,488,331,518,498,548,98,578,152,,
309,27,339,547,369,90,399,174,429,124,459,102,489,64,519,192,549,98,579,88,,
310,680,340,125,370,336,400,158,430,134,460,212,490,214,520,148,550,301,580,288,,
311,361,341,172,371,114,401,261,431,164,461,90,491,70,521,100,551,245,581,237,,
312,643,342,82,372,79,402,52,432,42,462,225,492,100,522,164,552,196,582,31,,
313,89,343,172,373,226,403,275,433,305,463,654,493,313,523,274,553,67,583,95,,
314,170,344,427,374,215,404,186,434,539,464,2,494,90,524,66,554,210,584,80,,
315,156,345,576,375,67,405,258,435,23,465,235,495,74,525,513,555,109,585,75,,
316,406,346,166,376,425,406,292,436,627,466,89,496,247,526,338,556,49,586,40,,
317,548,347,150,377,66,407,261,437,139,467,35,497,60,527,50,557,317,587,132,,
318,158,348,104,378,84,408,32,438,123,468,167,498,346,528,509,558,176,588,35,,
319,35,349,156,379,245,409,140,439,153,469,70,499,110,529,36,559,81,589,269,,
320,157,350,160,380,253,410,65,440,645,470,95,500,317,530,153,560,368,590,225,,
321,149,351,25,381,149,411,116,441,45,471,199,501,160,531,105,561,157,591,284,,
