0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
BENGAL,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,30,31,70,61,94,91,202,121,221,151,345,181,409,211,9,241,51
2,24,32,77,62,150,92,91,122,118,152,632,182,64,212,127,242,32
3,115,33,37,63,40,93,299,123,87,153,63,183,100,213,111,243,168
4,79,34,90,64,227,94,138,124,316,154,26,184,151,214,185,244,181
5,468,35,143,65,250,95,53,125,144,155,16,185,30,215,30,245,88
6,549,36,125,66,88,96,-15,126,110,156,587,186,51,216,40,246,91
7,160,37,78,67,695,97,241,127,189,157,35,187,99,217,116,247,56
8,382,38,120,68,114,98,96,128,280,158,273,188,19,218,233,248,112
9,155,39,204,69,163,99,314,129,57,159,161,189,195,219,157,249,348
10,122,40,95,70,149,100,47,130,-15,160,146,190,83,220,65,250,46
11,84,41,157,71,226,101,73,131,130,161,102,191,117,221,-25,251,151
12,77,42,137,72,100,102,184,132,58,162,101,192,75,222,156,,
13,94,43,147,73,404,103,69,133,360,163,131,193,49,223,108,,
14,105,44,59,74,56,104,110,134,387,164,85,194,112,224,104,,
15,290,45,25,75,245,105,125,135,24,165,408,195,67,225,70,,
16,24,46,112,76,134,106,68,136,493,166,96,196,392,226,64,,
17,330,47,571,77,99,107,216,137,82,167,177,197,236,227,127,,
18,71,48,121,78,127,108,106,138,89,168,32,198,221,228,-15,,
19,670,49,270,79,184,109,243,139,297,169,32,199,191,229,392,,
20,99,50,169,80,546,110,29,140,548,170,366,200,49,230,587,,
21,178,51,55,81,44,111,140,141,47,171,195,201,49,231,120,,
22,25,52,349,82,78,112,195,142,60,172,73,202,193,232,52,,
23,80,53,182,83,220,113,145,143,120,173,77,203,65,233,147,,
24,157,54,37,84,121,114,64,144,185,174,127,204,85,234,180,,
25,275,55,71,85,121,115,158,145,209,175,57,205,32,235,46,,
26,91,56,46,86,267,116,143,146,101,176,324,206,114,236,50,,
27,-3,57,45,87,56,117,44,147,266,177,71,207,80,237,143,,
28,185,58,173,88,128,118,21,148,-32,178,71,208,357,238,38,,
29,195,59,142,89,45,119,66,149,92,179,92,209,126,239,170,,
30,34,60,89,90,347,120,18,150,99,180,122,210,50,240,83,,
