0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
106,INDORE,MADHYA,"PRADESH,","INDORE,",MADHYA,PRADESH,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,
1,19,31,227,61,7,91,189,121,131,151,360,181,127,211,276,241,340,271,56,,,,,,
2,51,32,292,62,147,92,104,122,324,152,66,182,65,212,99,242,193,272,236,,,,,,
3,35,33,139,63,129,93,542,123,49,153,115,183,109,213,434,243,36,273,105,,,,,,
4,77,34,139,64,257,94,19,124,94,154,219,184,543,214,259,244,82,274,103,,,,,,
5,303,35,494,65,400,95,359,125,161,155,315,185,193,215,185,245,458,275,96,,,,,,
6,387,36,58,66,60,96,41,126,416,156,147,186,37,216,243,246,78,276,275,,,,,,
7,276,37,457,67,27,97,205,127,417,157,67,187,36,217,421,247,293,277,58,,,,,,
8,36,38,211,68,225,98,149,128,422,158,194,188,475,218,16,248,173,278,315,,,,,,
9,219,39,302,69,277,99,95,129,354,159,213,189,68,219,123,249,546,279,152,,,,,,
10,371,40,130,70,202,100,327,130,-7,160,149,190,351,220,53,250,129,280,71,,,,,,
11,142,41,205,71,426,101,204,131,343,161,270,191,46,221,187,251,277,281,527,,,,,,
12,217,42,224,72,110,102,405,132,225,162,71,192,551,222,185,252,11,282,109,,,,,,
13,253,43,60,73,562,103,87,133,441,163,354,193,333,223,200,253,124,283,427,,,,,,
14,540,44,386,74,268,104,131,134,336,164,30,194,170,224,565,254,82,284,134,,,,,,
15,648,45,53,75,180,105,85,135,194,165,65,195,145,225,126,255,330,285,608,,,,,,
16,36,46,569,76,78,106,47,136,528,166,40,196,265,226,272,256,195,286,351,,,,,,
17,293,47,74,77,136,107,286,137,80,167,71,197,65,227,155,257,411,287,472,,,,,,
18,575,48,606,78,224,108,31,138,132,168,240,198,441,228,34,258,270,288,155,,,,,,
19,155,49,111,79,166,109,261,139,125,169,307,199,14,229,182,259,48,289,108,,,,,,
20,388,50,12,80,50,110,277,140,261,170,78,200,47,230,624,260,76,290,403,,,,,,
21,26,51,241,81,256,111,554,141,240,171,385,201,552,231,106,261,265,291,173,,,,,,
22,507,52,259,82,402,112,20,142,452,172,106,202,56,232,641,262,147,292,257,,,,,,
23,352,53,41,83,107,113,296,143,430,173,139,203,72,233,68,263,60,293,18,,,,,,
